Engine Capacity,Cylinders,Drive Type,Fuel Tank Capacity,Fuel Economy,Fuel Type,Horsepower,Torque,Transmission,Top Speed,Seating Capacity,Acceleration,Length,Width,Height,Wheelbase,Trunk Capacity,name,price,currency,Country
2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),104412.0,0,0
2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),104412.0,0,0
2.4,4,1,80.0,6.8,1,147,400.0,1,175,6,13.2,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.4L GL 2 Double Cab DSL M/T (4x4),116035.0,0,0
1.6,4,1,50.0,7.0,0,175,265.0,0,205,5,7.9,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 1.6L T-GDI GLS Premium (AWD) ,101860.0,0,0
1.6,4,1,50.0,7.0,0,175,265.0,0,205,5,7.9,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 1.6L T-GDI GLS Premium Sunroof (AWD) ,102190.0,0,0
2.5,4,1,58.0,7.0,0,188,251.0,0,210,5,7.5,4.55,1.84,1.675,2.7,506.0,Mazda CX-5 2021 2.5L GT (AWD),120120.0,0,0
2.7,4,2,65.0,10.8,0,164,250.0,0,170,8,11.7,4.735,1.83,1.795,2.75,184.0,Toyota Innova 2021 2.7L STD,99733.0,0,0
2.8,4,2,55.0,10.8,1,174,360.0,0,170,8,11.7,4.735,1.83,1.795,2.75,184.0,Toyota Innova 2021 2.8T STD Diesel ,108613.0,0,0
1.6,4,0,52.0,7.2,0,123,160.0,0,180,5,12.5,4.16,1.81,1.67,2.56,348.0,Changan CS35 2021 1.6L Full Option (2WD),64389.0,0,0
1.6,4,0,50.0,6.6,0,115,156.0,0,180,5,13.2,4.632,1.814,1.443,2.711,503.0,Renault Megane 2021 1.6L SE,67100.0,0,0
3.0,6,2,70.0,13.1,0,215,285.0,0,182,5,9.2,4.785,1.815,1.8,2.8,131.0,Mitsubishi Montero Sport 2021 3.0L GLX (2WD) mid,121275.0,0,0
1.6,4,0,47.0,5.8,0,115,156.0,0,180,5,12.5,4.175,1.775,1.61,2.5,375.0,Suzuki Vitara 2021 1.6L GLX 2WD,76786.0,0,0
1.5,4,0,56.0,6.7,0,170,275.0,0,200,5,9.2,4.63,1.839,1.661,2.725,838.0,GMC Terrain 2021 1.5T SLE (FWD),105683.0,0,0
1.5,4,0,56.0,6.7,0,170,275.0,0,200,5,9.2,4.63,1.839,1.661,2.725,838.0,GMC Terrain 2021 1.5T SLE (FWD),105683.0,0,0
1.5,4,0,56.0,5.4,0,198,260.0,0,195,5,7.5,4.89,1.86,1.45,2.83,473.0,Honda Accord 2021 1.5T LX,115385.0,0,0
1.6,4,0,60.0,6.5,0,163,240.0,0,188,5,9.0,4.253,1.863,1.472,2.61,420.0,Peugeot 308 2021 1.6L GT Line,103835.0,0,0
