Engine Capacity,Cylinders,Drive Type,Fuel Tank Capacity,Fuel Economy,Fuel Type,Horsepower,Torque,Transmission,Top Speed,Seating Capacity,Acceleration,Length,Width,Height,Wheelbase,Trunk Capacity,name,price,currency,Country
5.7,8,2,70.0,12.4,0,375,555.0,0,250,5,5.4,5.027,1.923,1.46,2.95,459.0,Dodge Challenger 2021 5.7L R/T Plus,175900.0,1,1
3.6,6,2,72.0,11.9,0,335,386.0,0,250,5,5.2,4.966,1.834,1.453,2.911,385.0,Cadillac CTS 2021 3.6L V6 Luxury,224500.0,1,1
3.5,6,2,66.0,9.0,0,311,375.0,0,230,5,5.6,4.705,1.84,1.435,2.8,480.0,Lexus IS 2021 350 F-Sport Platinum,245000.0,1,1
6.2,8,2,72.0,11.1,0,455,614.0,0,250,4,4.0,4.784,1.897,1.348,2.811,258.0,Chevrolet Camaro Coupe 2021 6.2L SS (A/T),215700.0,1,1
2.0,4,1,60.0,9.8,0,235,350.0,0,200,5,7.2,4.63,1.845,1.63,2.66,500.0,Lexus NX 2021 300 F Sport Platinum ,230000.0,1,1
2.0,4,2,60.0,5.8,0,184,270.0,0,236,4,7.7,4.64,1.825,1.389,2.81,480.0,BMW 4 Series Gran Coupe 2021 420i,174000.0,1,1
2.0,4,1,63.0,7.4,0,246,365.0,0,217,5,6.8,4.746,2.07,1.693,2.874,650.0,Jaguar F-Pace 2021 2.0T R-Sport (250 PS),269745.0,1,1
3.7,6,2,80.0,12.0,0,330,360.0,0,225,5,5.6,4.945,1.845,1.5,2.9,500.0,Infiniti Q70 2021 3.7L Luxe Proactive ,229500.0,1,1
3.5,6,1,72.0,9.0,0,296,370.0,0,200,5,7.7,4.89,1.895,1.69,2.79,553.0,Lexus RX 2021 350 Prestige,245000.0,1,1
3.5,6,1,65.0,7.8,2,308,335.0,0,180,5,8.1,4.89,1.895,1.69,2.79,553.0,Lexus RX 2021 450h Prestige Limited ,245000.0,1,1
3.5,6,2,70.0,7.8,0,350,536.0,0,250,5,5.1,4.8,2.084,1.445,2.85,400.0,Infiniti Q50 2021 3.5L Hybrid Blue Sport,230500.0,1,1
2.0,4,2,74.0,6.8,0,250,365.0,0,244,5,6.6,4.954,2.091,1.457,2.96,540.0,Jaguar XF 2021 2.0T R-Sport (250 PS),264390.0,1,1
2.0,4,1,60.0,9.0,0,268,380.0,2,230,5,6.3,4.693,1.903,1.679,2.8,895.0,Infiniti QX50 2021 2.0T Autograph (AWD),245250.0,1,1
2.0,4,2,54.0,7.9,0,300,380.0,0,275,2,4.7,4.379,1.801,1.295,2.475,150.0,Porsche 718 2021 Cayman ,244800.0,1,1
2.0,4,2,54.0,7.9,0,300,380.0,0,275,2,4.7,4.379,1.801,1.295,2.475,150.0,Porsche 718 2021 Cayman ,244800.0,1,1
2.0,4,2,50.0,6.7,0,184,300.0,0,240,4,7.8,4.826,1.86,1.43,2.873,425.0,Mercedes-Benz E-Class Coupe 2021 E 200,235000.0,1,1
3.0,6,2,52.0,7.5,0,326,450.0,0,250,5,4.9,4.324,1.984,1.421,2.69,360.0,BMW 1 Series 2021 m135i,205000.0,1,1
2.0,4,2,52.0,6.1,0,184,270.0,0,226,4,7.7,4.432,1.984,1.413,2.69,280.0,BMW 2 Series Convertible 2021 220i,203000.0,1,1
3.5,6,1,65.0,5.2,2,308,335.0,0,180,5,8.1,4.89,1.895,1.69,2.79,553.0,Lexus RX 2021 450h Premier ,230000.0,1,1
6.2,8,1,136.0,14.7,0,420,624.0,0,200,5,7.3,6.128,2.063,1.915,3.987,1727.0,Chevrolet Silverado 2021 6.2L V8 High Country ,221600.0,1,1
4.6,8,1,138.0,14.5,0,304,439.0,0,200,8,9.0,5.095,1.98,1.93,2.85,456.0,Toyota Land Cruiser 2021 4.6L EXR,239900.0,1,1
2.0,4,2,60.0,5.8,0,184,270.0,0,236,4,7.5,4.64,1.825,1.377,2.81,445.0,BMW 4 Series Coupe 2021 420i,214000.0,1,1
2.0,4,1,71.0,7.7,0,254,350.0,0,240,7,6.5,4.95,2.14,1.775,2.985,1868.0,Volvo XC90 2021 2.0T T5 AWD R Design,239900.0,1,1
2.0,4,2,80.0,9.0,0,208,350.0,0,235,4,7.4,4.69,2.052,1.395,2.85,342.0,Infiniti Q60 Coupe 2021 2.0T Premium,175000.0,1,1
5.7,8,1,93.0,13.8,0,360,520.0,0,215,7,7.9,5.11,1.925,1.847,3.043,487.0,Dodge Durango 2021 5.7L R/T (AWD),185900.0,1,1
2.0,4,1,63.0,7.6,0,250,365.0,0,217,5,6.7,4.803,2.032,1.666,2.873,532.0,Land Rover Range Rover Velar 2021 2.0L S (250 PS),277830.0,1,1
2.0,4,2,55.0,6.1,0,258,400.0,0,250,2,5.4,4.324,1.864,1.304,2.47,310.0,BMW Z4 Roadster 2021 sDrive30i,274000.0,1,1
2.0,4,2,63.0,7.2,0,300,400.0,0,250,2,5.7,4.482,1.923,1.31,2.622,407.0,Jaguar F-Type Coupe 2021 2.0T (300 PS),303870.0,1,1
2.0,4,0,63.0,6.0,0,190,320.0,0,233,5,8.1,4.939,1.886,1.457,2.924,530.0,Audi A6 2021 40 TFSI (190 HP),189630.0,1,1
2.0,4,0,63.0,6.0,0,245,370.0,0,250,5,6.8,4.939,1.886,1.457,2.924,530.0,Audi A6 2021 45 TFSI Special Edition  (245 HP) ,199080.0,1,1
2.0,4,1,63.0,6.0,0,245,370.0,0,250,5,6.0,4.939,1.886,1.457,2.924,530.0,Audi A6 2021 45 TFSI Quattro (245 HP) ,234045.0,1,1
2.0,4,1,63.0,6.0,0,245,370.0,0,250,5,6.0,4.939,1.886,1.457,2.924,530.0,Audi A6 2021 45 TFSI Design Quattro (245 HP) ,254520.0,1,1
3.0,4,1,63.0,6.0,0,340,500.0,0,250,5,5.1,4.939,1.886,1.457,2.924,530.0,Audi A6 2021 55 TFSI Quattro (340 HP)  ,275415.0,1,1
3.0,4,1,63.0,6.0,0,340,500.0,0,250,5,5.1,4.939,1.886,1.457,2.924,530.0,Audi A6 2021 55 TFSI Design Quattro (340 HP),295995.0,1,1
2.0,4,2,54.0,7.9,0,300,380.0,0,275,2,4.7,4.379,1.801,1.281,2.475,150.0,Porsche 718 2021 Boxster ,257100.0,1,1
5.0,8,2,60.0,12.3,0,460,569.0,0,240,4,4.7,4.783,2.08,1.382,2.72,382.0,Ford Mustang 2021 5.0L V8 Convertible GT Premium,267645.0,1,1
2.0,4,1,56.0,6.9,0,381,475.0,0,250,5,4.2,4.367,1.78,1.417,2.699,341.0,Mercedes-Benz A 45 AMG 2021 2.0T 4MATIC,249900.0,1,1
2.0,4,2,66.0,6.3,0,184,300.0,0,235,4,8.2,4.703,1.786,1.398,2.76,390.0,Mercedes-Benz E-Class Cabriolet 2021 E 200,250000.0,1,1
2.0,4,2,60.0,5.8,0,258,400.0,0,250,5,5.8,4.709,1.827,1.442,2.851,480.0,BMW 3 Series 2021 330i,247000.0,1,1
2.0,4,2,60.0,5.5,0,184,300.0,0,240,5,7.1,4.709,1.827,1.442,2.851,480.0,BMW 3 Series 2021 320i ,202000.0,1,1
3.5,6,2,66.0,10.7,0,314,377.0,0,230,4,6.1,4.695,1.84,1.395,2.73,295.0,Lexus RC 2021 350 F Sport ,220000.0,1,1
2.0,4,1,66.0,7.3,0,211,350.0,0,222,5,7.3,4.732,1.89,1.602,2.873,500.0,Mercedes-Benz GLC Coupe 2021 250 4MATIC,250000.0,1,1
3.3,6,2,77.0,11.7,0,365,510.0,0,250,5,5.6,4.99,1.89,1.48,3.01,493.0,Genesis G80 2021 3.3T Sport,253500.0,1,1
3.3,6,2,77.0,11.7,0,365,510.0,0,250,5,5.6,4.99,1.89,1.48,3.01,493.0,Genesis G80 2021 3.3T Sport,253500.0,1,1
2.0,4,1,60.0,7.3,0,254,350.0,0,220,5,6.8,4.688,1.902,1.658,2.865,505.0,Volvo XC60 2021 2.0T T5 AWD R Design,199900.0,1,1
5.7,8,2,70.0,12.4,0,375,555.0,0,250,5,5.4,5.027,1.923,1.46,2.95,459.0,Dodge Challenger 2021 5.7L R/T Shaker,183900.0,1,1
5.7,8,2,70.0,12.4,0,375,555.0,0,250,5,5.4,5.027,1.923,1.46,2.95,459.0,Dodge Challenger 2021 5.7L R/T Plus (T.A  package),189900.0,1,1
2.9,6,1,64.0,9.0,0,510,600.0,0,283,5,3.8,4.68,2.16,1.67,2.818,525.0,Alfa Romeo Stelvio 2021 Quadrifoglio,408500.0,1,1
3.6,6,1,82.0,10.0,0,310,366.0,0,210,5,7.5,4.813,1.905,1.676,2.857,849.0,Cadillac XT5 2021 3.6L AWD Sport,245000.0,1,1
2.0,4,1,89.0,9.0,0,300,400.0,0,201,7,7.9,4.97,2.073,1.846,2.923,258.0,Land Rover Discovery 2021 2.0T HSE (300 HP) ,308805.0,1,1
2.0,4,1,71.0,7.7,0,254,350.0,0,240,5,7.3,4.95,2.14,1.775,2.985,1868.0,Volvo XC90 2021 2.0T T5 AWD Momentum,224900.0,1,1
3.6,6,2,72.0,11.9,0,335,386.0,0,250,5,5.2,4.966,1.834,1.453,2.911,385.0,Cadillac CTS 2021 3.6L V6 Premium Luxury,257900.0,1,1
4.0,6,1,138.0,13.4,0,271,385.0,0,200,8,11.0,5.17,1.98,1.93,2.85,455.0,Toyota Land Cruiser 2021 4.0L GXR GT,249900.0,1,1
5.0,6,2,77.0,12.4,0,407,505.0,0,240,5,5.2,4.99,1.89,1.48,3.01,493.0,Genesis G80 2021 5.0L Royal,260500.0,1,1
5.7,8,1,138.0,15.7,0,362,530.0,0,220,8,7.0,5.095,1.98,1.93,2.85,456.0,Toyota Land Cruiser 2021 5.7L EXR,259900.0,1,1
2.5,4,2,64.0,8.5,0,350,420.0,0,285,2,4.4,4.379,1.801,1.295,2.475,150.0,Porsche 718 2021 Cayman S ,268900.0,1,1
5.3,8,1,100.0,13.0,0,355,383.0,0,180,9,7.5,5.351,2.057,1.927,3.07,1461.0,Chevrolet Tahoe 2021 5.3L Premium  4WD ,264200.0,1,1
5.3,8,1,100.0,13.0,0,355,383.0,0,180,9,7.5,5.351,2.057,1.927,3.07,1461.0,Chevrolet Tahoe 2021 5.3L Premium  4WD ,264200.0,1,1
5.3,8,1,100.0,13.0,0,355,383.0,0,180,9,7.5,5.351,2.057,1.927,3.07,1461.0,Chevrolet Tahoe 2021 5.3L Z71 4WD ,236900.0,1,1
2.0,4,1,56.0,7.3,0,421,500.0,0,250,5,4.0,4.64,1.777,1.432,2.699,470.0,Mercedes-Benz CLA-Class 2021 CLA 45 S AMG 4MATIC+,265000.0,1,1
3.0,6,2,70.0,7.8,0,367,520.0,0,250,2,4.7,4.133,1.81,1.301,2.43,335.0,Mercedes-Benz SLC 2021 43 AMG,270900.0,1,1
2.0,4,1,63.0,7.6,0,250,365.0,0,217,5,6.7,4.803,2.032,1.666,2.873,532.0,Land Rover Range Rover Velar 2021 2.0L R-Dynamic SE (250 PS),309960.0,1,1
4.0,6,1,140.0,11.8,0,275,395.0,0,200,8,11.5,5.165,1.995,1.94,3.075,550.0,Nissan Patrol 2021 4.0L SE Platinum City ,265200.0,1,1
3.0,6,1,89.0,10.9,0,340,450.0,0,215,7,7.1,4.97,2.073,1.846,2.923,258.0,Land Rover Discovery 2021 3.0L V6 HSE (340 HP),337890.0,1,1
3.5,6,1,72.0,9.0,0,296,370.0,0,200,5,7.7,4.89,1.895,1.69,2.79,553.0,Lexus RX 2021 350 Platinum,275000.0,1,1
3.0,6,1,85.0,7.0,0,367,500.0,0,250,5,5.8,4.924,1.947,1.797,2.995,690.0,Mercedes-Benz GLE-Class 2021 450 4MATIC,275000.0,1,1
3.5,6,2,66.0,6.3,2,341,352.0,0,250,5,5.9,4.88,1.84,1.455,2.85,374.0,Lexus GS 2021 450h F-Sport,275000.0,1,1
3.5,6,2,66.0,6.3,2,341,352.0,0,250,5,5.9,4.88,1.84,1.455,2.85,374.0,Lexus GS 2021 450h F-Sport,275000.0,1,1
2.5,4,2,64.0,8.5,0,350,420.0,0,285,2,4.4,4.379,1.801,1.28,2.475,150.0,Porsche 718 2021 Boxster S ,291500.0,1,1
3.0,4,1,58.0,7.3,0,354,500.0,0,250,5,4.7,4.745,1.842,1.404,2.82,480.0,Audi A4 2021 S4 (354 HP),274050.0,1,1
5.6,8,1,140.0,16.7,0,400,560.0,0,200,8,7.3,5.165,1.995,1.94,3.075,668.0,Nissan Patrol 2021 5.6L LE Titanium,299000.0,1,1
5.6,8,1,140.0,16.7,0,400,560.0,0,200,8,7.3,5.165,1.995,1.94,3.075,668.0,Nissan Patrol 2021 5.6L LE T2,275000.0,1,1
5.6,8,1,140.0,16.7,0,400,560.0,0,200,8,7.3,5.165,1.995,1.94,3.075,668.0,Nissan Patrol 2021 5.6L LE T1,234000.0,1,1
3.5,6,1,65.0,7.8,2,308,335.0,0,180,5,8.1,4.89,1.895,1.69,2.79,553.0,Lexus RX 2021 450h F Sport,280000.0,1,1
6.2,8,2,72.0,14.7,0,650,881.0,0,250,4,3.5,4.784,1.897,1.34,2.811,258.0,Chevrolet Camaro Coupe 2021 6.2L ZL1,291100.0,1,1
4.6,8,1,87.0,13.8,0,292,438.0,0,177,7,8.2,4.88,1.885,1.845,2.79,104.0,Lexus GX 2021 460 Platinum,280000.0,1,1
2.0,4,2,63.0,7.2,0,300,400.0,0,249,2,5.7,4.482,1.923,1.308,2.622,207.0,Jaguar F-Type Convertible 2021 2.0T (300 PS),327915.0,1,1
4.6,8,1,138.0,14.5,0,304,439.0,0,200,8,9.0,5.17,1.98,1.93,2.85,456.0,Toyota Land Cruiser 2021 4.6L GXR GT,286500.0,1,1
3.5,6,1,65.0,7.8,2,308,335.0,0,180,7,8.1,5.0,1.895,1.7,2.79,553.0,Lexus RX 2021 450h L Platinum (7 Seats),295000.0,1,1
3.5,6,1,65.0,7.8,2,308,335.0,0,180,7,8.1,5.0,1.895,1.7,2.79,553.0,Lexus RX 2021 450h L Platinum (7 Seats),295000.0,1,1
3.5,6,1,65.0,7.8,2,308,335.0,0,180,6,8.1,5.0,1.895,1.7,2.79,553.0,Lexus RX 2021 450h L Platinum (6 Seats) ,295000.0,1,1
3.5,6,1,65.0,7.8,2,308,335.0,0,180,6,8.1,5.0,1.895,1.7,2.79,553.0,Lexus RX 2021 450h L Prestige (6 Seats),260000.0,1,1
3.0,6,1,66.0,8.7,0,367,520.0,0,250,5,4.9,4.656,1.89,1.639,2.873,550.0,Mercedes-Benz GLC-Class 2021 43 AMG 4MATIC,285000.0,1,1
2.0,4,2,66.0,7.0,0,245,370.0,0,250,4,6.4,4.826,1.86,1.43,2.873,425.0,Mercedes-Benz E-Class Coupe 2021 E 300,285000.0,1,1
3.0,6,1,52.0,8.0,0,326,450.0,0,250,5,4.7,4.329,1.984,1.44,2.69,360.0,BMW 1 Series 2021 m135i xDrive,258900.0,1,1
2.0,4,1,66.0,5.4,0,245,370.0,0,236,5,6.5,4.732,1.89,1.602,2.873,500.0,Mercedes-Benz GLC Coupe 2021 300 4MATIC,289000.0,1,1
3.0,6,1,55.0,7.4,0,340,500.0,0,250,2,4.5,4.324,1.864,1.304,2.47,310.0,BMW Z4 Roadster 2021 M40i,300000.0,1,1
2.0,4,2,60.0,5.8,0,252,350.0,0,250,4,5.9,4.64,1.825,1.389,2.81,480.0,BMW 4 Series Gran Coupe 2021 430i,238000.0,1,1
3.0,6,1,58.0,7.5,0,354,500.0,0,250,5,4.7,4.752,1.843,1.384,2.825,480.0,Audi S5 Sportback 2021 3.0 TFSI quattro (354 HP),310450.0,1,1
3.0,6,1,58.0,7.4,0,354,500.0,0,250,4,4.7,4.692,1.846,1.368,2.765,465.0,Audi S5 Coupe 2021 3.0 TFSI quattro (354 HP),310550.0,1,1
3.5,6,1,107.0,12.3,0,400,650.0,0,190,8,6.0,5.636,2.029,1.941,3.343,592.0,Ford Expedition 2021 3.5L EcoBoost Platinum,309645.0,1,1
3.5,6,1,107.0,12.3,0,400,610.0,0,190,8,6.0,5.636,2.029,1.941,3.343,592.0,Ford Expedition 2021 3.5L EcoBoost (Turath Special Edition)  ,286181.0,1,1
6.4,8,1,93.0,15.8,0,470,630.0,0,250,5,5.5,4.859,1.958,1.73,2.916,994.0,Jeep Grand Cherokee 2021 SRT8,279900.0,1,1
2.0,4,1,65.0,7.3,0,248,350.0,0,240,5,6.3,4.708,1.891,1.676,2.864,550.0,BMW X3 2021 xDrive 30i,232000.0,1,1
2.0,4,2,66.0,6.3,0,245,370.0,0,250,4,6.6,4.703,1.786,1.398,2.76,390.0,Mercedes-Benz E-Class Cabriolet 2021 E 300,295000.0,1,1
3.0,6,2,80.0,10.9,0,400,475.0,0,250,4,5.8,4.69,2.052,1.395,2.85,342.0,Infiniti Q60 Coupe 2021 3.0T Premium,220000.0,1,1
4.0,6,2,64.0,10.8,0,400,420.0,1,293,2,4.5,4.405,1.801,1.276,2.475,150.0,Porsche 718 2021 Cayman GTS 4.0,318860.0,1,1
4.0,6,1,64.0,10.9,0,420,420.0,1,304,2,4.4,4.456,1.801,1.269,2.484,150.0,Porsche 718 2021 GT4 ,374400.0,1,1
4.0,6,2,64.0,10.9,0,420,420.0,1,300,2,4.4,4.43,1.801,1.258,2.484,150.0,Porsche 718 2021 Spider ,368400.0,1,1
2.0,4,1,71.0,7.7,0,320,400.0,0,230,5,5.9,4.688,1.902,1.658,2.865,505.0,Volvo XC60 2021 T6 AWD Inscription,225900.0,1,1
3.0,6,2,80.0,8.9,0,350,500.0,0,267,5,5.5,4.971,2.1,1.461,2.998,500.0,Maserati Ghibli 2021 3.0T V6 ,299000.0,1,1
3.0,6,2,80.0,8.9,0,350,500.0,0,267,5,5.5,4.971,2.1,1.461,2.998,500.0,Maserati Ghibli 2021 3.0T V6  GranLusso ,369000.0,1,1
3.0,6,1,68.0,9.6,0,400,575.0,0,250,5,5.6,5.115,2.09,1.487,2.994,473.0,Lincoln Continental 2021 3.0T Reserve ,283395.0,1,1
5.7,8,1,138.0,15.7,0,362,530.0,0,220,8,7.0,5.17,1.98,1.93,2.85,456.0,Toyota Land Cruiser 2021 5.7L GXR,299900.0,1,1
2.0,4,1,71.0,7.7,0,320,400.0,0,230,5,5.9,4.688,1.902,1.658,2.865,505.0,Volvo XC60 2021 2.0T T6 AWD Inscription,225900.0,1,1
3.0,6,1,75.0,9.2,0,340,450.0,0,245,5,6.2,4.918,1.983,1.696,2.895,770.0,Porsche Cayenne 2021 Base,317900.0,1,1
3.0,6,1,75.0,9.2,0,340,450.0,0,243,5,6.0,4.931,1.983,1.676,2.895,625.0,Porsche Cayenne Coupe 2021 Base,335900.0,1,1
5.0,8,1,63.0,11.7,0,550,680.0,0,283,5,4.3,4.746,2.07,1.693,2.874,650.0,Jaguar F-Pace 2021 5.0L V8 SVR (550 PS),431340.0,1,1
3.0,6,1,85.0,8.0,0,340,500.0,0,250,5,5.9,4.986,1.995,1.705,2.995,605.0,Audi Q8 2021 55 TFSI quattro (340 HP),318885.0,1,1
4.0,6,2,64.0,10.8,0,400,420.0,1,293,2,4.5,4.391,1.801,1.262,2.475,150.0,Porsche 718 2021 Boxster GTS 4.0,331160.0,1,1
2.0,4,1,67.0,7.3,0,252,350.0,0,240,5,6.3,4.752,1.918,1.621,2.864,500.0,BMW X4 2021 xDrive 30i,275000.0,1,1
4.0,8,1,85.0,8.0,0,500,700.0,0,250,5,4.3,4.986,1.995,1.705,2.995,605.0,Audi SQ8 2021 4.0 TFSI quattro (500 HP),318885.0,1,1
5.6,8,1,100.0,12.1,0,400,560.0,0,200,7,7.3,5.34,2.03,1.925,3.075,470.0,Infiniti QX80 2021 5.6L Luxe (7 Seats),322250.0,1,1
3.0,6,2,80.0,9.1,0,340,450.0,0,250,5,5.9,5.255,1.899,1.46,3.175,520.0,Jaguar XJ 2021 3.0L Luxury LWB (340 PS),342825.0,1,1
5.6,8,1,100.0,12.1,0,400,560.0,0,200,8,7.3,5.34,2.03,1.925,3.075,470.0,Infiniti QX80 2021 5.6L Luxe (8 Seats),323750.0,1,1
5.6,8,1,100.0,12.1,0,428,560.0,0,200,8,7.3,5.34,2.03,1.925,3.075,470.0,Infiniti QX80 2021 5.6L Limited Edition ,397250.0,1,1
5.6,8,1,100.0,12.1,0,428,560.0,0,200,8,7.3,5.34,2.03,1.925,3.075,470.0,Infiniti QX80 2021 5.6L Limited Edition ,397250.0,1,1
3.5,6,2,82.0,11.2,0,311,380.0,0,220,5,6.3,5.235,1.9,1.46,3.125,480.0,Lexus LS 2021 350 Prestige,325000.0,1,1
5.0,8,2,66.0,11.5,0,471,530.0,0,270,4,4.5,4.705,1.845,1.39,2.73,295.0,Lexus RC F 2021 5.0L Platinum,325000.0,1,1
3.0,6,1,66.0,8.4,0,435,520.0,0,250,4,4.5,4.846,1.86,1.425,2.873,360.0,Mercedes-Benz C Class Cabriolet 2021 C AMG 53 4MATIC+ Cabriolet,325000.0,1,1
3.0,6,1,68.0,9.6,0,400,575.0,0,250,5,5.6,5.115,2.09,1.487,2.994,473.0,Lincoln Continental 2021 3.0T Presidential  ,346395.0,1,1
2.0,4,1,71.0,7.7,0,320,400.0,0,240,7,6.5,4.95,2.14,1.775,2.985,1868.0,Volvo XC90 2021 2.0T T6 AWD R Design,269900.0,1,1
3.0,6,2,52.0,9.2,0,410,550.0,0,280,4,4.2,4.461,1.854,1.41,2.693,390.0,BMW M2 Competition 2021 3.0T,359000.0,1,1
5.6,8,1,140.0,14.5,0,400,560.0,0,200,8,6.6,5.165,1.995,1.94,3.075,550.0,Nissan Patrol 2021 5.6L LE Platinum City,329000.0,1,1
5.6,8,1,140.0,14.5,0,400,560.0,0,200,8,6.6,5.165,1.995,1.94,3.075,550.0,Nissan Patrol 2021 5.6L LE Platinum City Reserve ,342000.0,1,1
3.0,6,1,66.0,7.7,0,362,500.0,0,250,4,5.1,4.703,1.786,1.398,2.76,390.0,Mercedes-Benz E-Class Cabriolet 2021 E 450 4MATIC,335000.0,1,1
3.0,6,2,80.0,12.1,0,400,475.0,0,250,4,5.2,4.69,2.052,1.395,2.85,342.0,Infiniti Q60 Coupe 2021 3.0T Red Sport 400,280000.0,1,1
3.0,6,2,60.0,6.8,0,326,450.0,0,250,4,5.1,4.64,1.825,1.389,2.81,480.0,BMW 4 Series Gran Coupe 2021 440i,266000.0,1,1
3.0,6,1,65.0,8.4,0,510,600.0,0,250,5,4.1,4.726,1.897,1.669,2.864,550.0,BMW X3 M 2021 3.0T Competition ,444000.0,1,1
3.0,6,1,75.0,3.4,2,462,700.0,0,253,5,5.0,4.918,1.983,1.696,2.895,648.0,Porsche Cayenne 2021 E-Hybrid,383900.0,1,1
3.0,6,1,75.0,3.4,2,462,700.0,0,253,5,5.0,4.918,1.983,1.696,2.895,648.0,Porsche Cayenne 2021 E-Hybrid,383900.0,1,1
1.8,4,2,40.0,9.8,0,240,350.0,2,258,2,4.5,3.989,2.09,1.183,2.38,110.0,Alfa Romeo 4C 2021 Coupe,280000.0,1,1
3.0,6,1,85.0,8.1,0,340,500.0,0,250,5,5.9,5.052,2.212,1.741,2.994,890.0,Audi Q7 2021 55 TFSI quattro S-line (340 HP),307020.0,1,1
3.0,6,2,80.0,9.6,0,430,580.0,0,285,5,5.0,4.971,2.1,1.461,2.998,500.0,Maserati Ghibli 2021 3.0T V6 S,399000.0,1,1
4.0,8,1,75.0,3.8,2,680,900.0,0,295,5,5.9,4.926,1.983,1.673,2.895,645.0,Porsche Cayenne 2021 Turbo S E-Hybrid,706900.0,1,1
3.0,6,1,80.0,10.7,0,350,500.0,0,251,5,6.0,5.005,1.981,1.693,3.004,550.0,Maserati Levante 2021 3.0T V6,379000.0,1,1
3.0,6,1,80.0,10.7,0,350,500.0,0,251,5,6.0,5.005,1.981,1.693,3.004,550.0,Maserati Levante 2021 3.0T V6 GranLusso ,409000.0,1,1
3.0,6,1,80.0,10.7,0,350,500.0,0,251,5,6.0,5.005,1.981,1.693,3.004,550.0,Maserati Levante 2021 3.0T V6 GranSport ,419000.0,1,1
4.0,8,1,75.0,3.4,2,680,900.0,0,295,5,3.8,4.939,1.989,1.653,2.895,500.0,Porsche Cayenne Coupe 2021 Turbo S E-Hybrid,710700.0,1,1
3.0,6,1,65.0,10.5,0,510,600.0,0,250,5,4.1,4.758,1.927,1.62,2.864,525.0,BMW X4 M 2021 3.0T Competition ,454000.0,1,1
5.7,8,1,138.0,15.7,0,362,530.0,0,220,8,7.0,5.115,1.98,1.905,2.85,456.0,Toyota Land Cruiser 2021 5.7L VXR,329000.0,1,1
5.7,8,1,138.0,15.7,0,362,530.0,0,220,8,7.0,5.115,1.98,1.905,2.85,456.0,Toyota Land Cruiser 2021 5.7L VXR,329000.0,1,1
3.0,6,2,80.0,9.1,0,340,450.0,0,250,5,5.9,5.255,1.899,1.46,3.175,520.0,Jaguar XJ 2021 3.0L 50th Edition LWB (340 PS) ,400680.0,1,1
3.5,6,2,60.0,9.7,0,400,410.0,0,280,4,4.2,4.394,1.845,1.226,2.575,170.0,Lotus Evora 2021 400,410000.0,1,1
3.5,6,2,60.0,9.7,0,410,420.0,0,275,2,4.1,4.394,1.844,1.229,2.575,161.0,Lotus Evora 2021 GT410 Sport,464000.0,1,1
5.0,8,2,83.0,12.1,0,407,520.0,0,240,5,5.7,5.205,1.915,1.495,3.16,510.0,Genesis G90 2021 5.0L V8 Royal,354900.0,1,1
3.0,6,1,66.0,8.7,0,435,520.0,0,250,5,4.5,4.923,1.852,1.468,2.939,540.0,Mercedes-Benz E-Class Saloon 2021 E AMG 53 4MATIC+,355000.0,1,1
3.5,6,2,82.0,8.4,0,354,500.0,0,220,5,5.4,5.235,1.9,1.45,3.125,430.0,Lexus LS 2021 500h Prestige,355000.0,1,1
3.0,6,1,80.0,9.7,0,430,580.0,0,285,5,4.8,4.971,2.1,1.461,2.998,500.0,Maserati Ghibli 2021 3.0T V6 S GranLusso ,419000.0,1,1
3.0,6,1,80.0,9.7,0,430,580.0,0,285,5,4.8,4.971,2.1,1.461,2.998,500.0,Maserati Ghibli 2021 3.0T V6 S GranSport ,429000.0,1,1
3.0,6,1,63.0,9.4,0,340,450.0,0,233,5,6.4,4.803,2.032,1.666,2.873,532.0,Land Rover Range Rover Velar 2021 3.0L V6 R-Dynamic HSE (340 PS),381150.0,1,1
3.5,6,1,107.0,13.1,0,450,691.0,0,185,7,5.9,5.636,2.123,1.933,3.343,538.0,Lincoln Navigator 2021 3.5T Reserve (AWD) ,367395.0,1,1
3.5,6,1,107.0,13.1,0,450,691.0,0,185,7,5.9,5.636,2.123,1.933,3.343,538.0,Lincoln Navigator 2021 3.5T Presidential (AWD)  ,404145.0,1,1
3.5,6,1,107.0,13.1,0,450,691.0,0,185,7,5.9,5.636,2.123,1.933,3.343,538.0,Lincoln Navigator 2021 3.5T Presidential (AWD)  ,404145.0,1,1
6.2,8,1,98.0,14.0,0,420,623.0,0,180,8,6.3,5.179,2.045,1.89,2.946,430.0,Cadillac Escalade 2021 6.2L Premium Luxury,369900.0,1,1
3.0,6,1,66.0,8.4,0,435,520.0,0,250,4,4.5,4.848,1.86,1.427,2.873,450.0,Mercedes-Benz E-Class Coupe 2021 E AMG 53 4MATIC+,375000.0,1,1
2.0,4,2,80.0,7.3,0,299,400.0,0,250,4,6.0,4.996,1.869,1.418,2.939,520.0,Mercedes-Benz CLS-Class 2021 CLS 350,380000.0,1,1
5.0,8,2,66.0,11.2,0,471,530.0,0,270,5,4.6,4.915,1.845,1.44,2.85,521.0,Lexus GS 2021 5.0L F Platinum,380000.0,1,1
2.9,6,1,75.0,9.4,0,440,550.0,0,265,5,5.2,4.918,1.983,1.696,2.895,770.0,Porsche Cayenne 2021 S,387400.0,1,1
